"Kod"	"Överordnad kod"	"Titel"	"Förkortning(ar)"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Kodningsinformation"
"NFW"	""	""	""	""	""	""	"Revision av amputationsstump, se NFQ"	""
"NFW49"	"NFW"	"Sutur av sårruptur i höft eller lår"	""	""	""	""	""	""
"NFW59"	"NFW"	"Reoperation för ytlig infektion i höft eller lår"	""	""	""	"För sårinfektion"	""	""
"NFW69"	"NFW"	"Reoperation för djup infektion i höft eller lår"	""	""	""	""	""	""
"NFW79"	"NFW"	"Reoperation för ytlig blödning i höft eller lår"	""	""	""	"För sårblödning eller hematom"	""	""
"NFW89"	"NFW"	"Reoperation för djup blödning i höft eller lår"	""	""	""	""	""	""
"NFW99"	"NFW"	"Annan reoperation på höft eller lår"	""	""	""	""	""	""
"NG"	"N"	"Operationer på knän och underben"	""	""	""	""	""	""
"NGA"	"NG"	"Explorativa operationer på knän och underben"	""	""	""	"Diagnostisk artroskopi eller endoskopi, biopsi"	"Biopsi av hud och subkutan vävnad, se kapitel Q"	""
"NGA"	""	""	""	""	""	""	"Operationer vid infektion, se NGS"	""
"NGA00"	"NGA"	"Exploration av mjukdelar i knä eller underben - perkutan eller sluten"	""	""	""	""	""	""
"NGA01"	"NGA"	"Exploration av mjukdelar i knä eller underben - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGA02"	"NGA"	"Exploration av mjukdelar i knä eller underben - öppen"	""	""	""	""	""	""
"NGA10"	"NGA"	"Exploration av knäled - perkutan eller sluten"	""	""	""	"Diagnostisk artroskopi"	""	""
"NGA11"	"NGA"	"Exploration av knäled - artroskopisk eller endoskopisk"	""	""	""	"Diagnostisk artroskopi"	""	""
"NGA12"	"NGA"	"Exploration av knäled - öppen"	""	""	""	"Diagnostisk artroskopi"	""	""
"NGA20"	"NGA"	"Biopsi av mjukdelar eller led i knä eller underben - perkutan eller sluten"	""	""	""	""	""	""
"NGA21"	"NGA"	"Biopsi av mjukdelar eller led i knä eller underben - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGA22"	"NGA"	"Biopsi av mjukdelar eller led i knä eller underben - öppen"	""	""	""	""	""	""
"NGA30"	"NGA"	"Benbiopsi i knä eller underben - perkutan eller sluten"	""	""	""	""	""	""
"NGA31"	"NGA"	"Benbiopsi i knä eller underben - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGA32"	"NGA"	"Benbiopsi i knä eller underben - öppen"	""	""	""	""	""	""
"NGB"	"NG"	"Primära ledprotesoperationer i knäleder"	""	""	""	"Primär ledprotesoperation efter tidigare frakturbehandling eller annan ledoperation"	"Ledprotesoperation av femur (som ersätts i sin helhet) med proximala och distala ledytor, se NFR89"	"Tilläggskod för bentransplantat, se NGN"
"NGB09"	"NGB"	"Primär halv- eller delprotes i knäled utan cement"	""	""	""	""	""	""
"NGB19"	"NGB"	"Primär halv- eller delprotes i knäled med cement"	""	""	""	""	""	""
"NGB29"	"NGB"	"Primär totalprotes i knäled utan cement"	""	""	""	""	""	""
"NGB39"	"NGB"	"Primär totalprotes i knäled med hybridteknik"	""	""	""	""	""	""
"NGB49"	"NGB"	"Primär totalprotes i knäled med cement"	""	""	""	""	""	""
"NGB53"	"NGB"	"Primär patellofemoral protes"	""	""	""	""	""	""
"NGB59"	"NGB"	"Kompletterande primär patellaprotes"	""	""	"Vid primär totalprotes"	""	""	""
"NGB99"	"NGB"	"Annan primär ledprotesoperation i knäled"	""	""	""	""	""	""
"NGC"	"NG"	"Sekundära ledprotesoperationer i knäleder"	""	""	""	"Sekundär eller senare implantation av hel- eller delprotes"	"Extraktion av protes, se NGU"	""
"NGC"	""	""	""	""	""	""	"Reposition av luxerad protes, se NGH"	""
"NGC09"	"NGC"	"Sekundär halv- eller delprotes i knäled utan cement"	""	""	""	""	"Komponent av totalprotes"	""
"NGC19"	"NGC"	"Sekundär halv- eller delprotes i knäled med cement"	""	""	""	""	"Komponent av totalprotes"	""
"NGC29"	"NGC"	"Sekundär totalprotes i knäled utan cement"	""	""	""	"Komponent av totalprotes"	""	""
"NGC39"	"NGC"	"Sekundär totalprotes i knäled med hybridteknik"	""	""	""	"Komponent av totalprotes"	""	""
"NGC49"	"NGC"	"Sekundär totalprotes i knäled med cement"	""	""	""	""	""	""
"NGC53"	"NGC"	"Sekundär patellofemoral protes"	""	""	""	""	""	""
"NGC59"	"NGC"	"Sekundär patellaprotes"	""	""	"Vid tidigare totalprotes"	""	""	""
"NGC99"	"NGC"	"Annan sekundär ledprotesoperation i knäled"	""	""	""	""	""	""
"NGD"	"NG"	"Operationer på menisker i knäleder"	""	""	""	""	"Avlägsnande av främmande kropp, se NGT09"	""
"NGD01"	"NGD"	"Total excision av menisk i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGD02"	"NGD"	"Total excision av menisk i knäled - öppen"	""	""	""	""	""	""
"NGD10"	"NGD"	"Partiell excision av menisk i knäled - perkutan eller sluten"	""	""	""	""	""	""
"NGD11"	"NGD"	"Partiell excision av menisk i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGD12"	"NGD"	"Partiell excision av menisk i knäled - öppen"	""	""	""	""	""	""
"NGD20"	"NGD"	"Replantation av menisk i knäled - perkutan eller sluten"	""	""	""	""	""	""
"NGD21"	"NGD"	"Replantation av menisk i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGD22"	"NGD"	"Replantation av menisk i knäled - öppen"	""	""	""	""	""	""
"NGD90"	"NGD"	"Annan operation på menisk i knäled - perkutan eller sluten"	""	""	""	""	""	""
"NGD91"	"NGD"	"Annan operation på menisk i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGD92"	"NGD"	"Annan operation på menisk i knäled - öppen"	""	""	""	""	""	""
"NGE"	"NG"	"Operationer på ledkapslar och ligament i knäleder"	""	""	""	""	"Avlägsnande av främmande kropp, se NGT09"	""
"NGE"	""	""	""	""	""	""	"Komplexa korrektioner vid deformitet, se NGT"	""
"NGE00"	"NGE"	"Incision i eller sutur av ledkapsel i knäled - perkutan eller sluten"	""	""	""	""	""	""
"NGE01"	"NGE"	"Incision i eller sutur av ledkapsel i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGE02"	"NGE"	"Incision i eller sutur av ledkapsel i knäled - öppen"	""	""	""	""	""	""
"NGE09"	"NGE"	"Incision i eller sutur av ledkapsel i knäled - ospecificerad"	""	""	""	""	""	""
"NGE10"	"NGE"	"Transcision eller excision av ligament i knäled - perkutan eller sluten"	""	""	""	""	""	""
"NGE11"	"NGE"	"Transcision eller excision av ligament i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGE12"	"NGE"	"Transcision eller excision av ligament i knäled - öppen"	""	""	""	""	""	""
"NGE20"	"NGE"	"Sutur eller replantation av ligament i knäled - perkutan eller sluten"	""	""	""	""	""	""
"NGE21"	"NGE"	"Sutur eller replantation av ligament i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGE22"	"NGE"	"Sutur eller replantation av ligament i knäled - öppen"	""	""	""	""	""	""
"NGE31"	"NGE"	"Transposition av ligament i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGE32"	"NGE"	"Transposition av ligament i knäled - öppen"	""	""	""	""	""	""
"NGE39"	"NGE"	"Transposition av ligament i knäled - ospecificerad"	""	""	""	""	""	""
"NGE41"	"NGE"	"Rekonstruktion av ligament i knäled utan främmande material - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGE42"	"NGE"	"Rekonstruktion av ligament i knäled utan främmande material - öppen"	""	""	""	""	""	""
"NGE49"	"NGE"	"Rekonstruktion av ligament i knäled utan främmande material - ospecificerad"	""	""	""	""	""	""
"NGE51"	"NGE"	"Rekonstruktion av ligament i knäled med främmande material - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGE52"	"NGE"	"Rekonstruktion av ligament i knäled med främmande material - öppen"	""	""	""	""	""	""
"NGE90"	"NGE"	"Annan operation på ledkapsel eller ligament i knäled - perkutan eller sluten"	""	""	""	""	""	""
"NGE91"	"NGE"	"Annan operation på ledkapsel eller ligament i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGE92"	"NGE"	"Annan operation på ledkapsel eller ligament i knäled - öppen"	""	""	""	""	""	""
"NGE99"	"NGE"	"Annan operation på ledkapsel eller ligament i knäled - ospecificerad"	""	""	""	""	""	""
"NGF"	"NG"	"Operationer på ledhinnor och ledytor i knäleder"	""	""	""	""	""	""
"NGF01"	"NGF"	"Total synovektomi i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGF02"	"NGF"	"Total synovektomi i knäled - öppen"	""	""	""	""	""	""
"NGF10"	"NGF"	"Partiell synovektomi i knäled - perkutan eller sluten"	""	""	""	""	""	""
"NGF11"	"NGF"	"Partiell synovektomi i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGF12"	"NGF"	"Partiell synovektomi i knäled - öppen"	""	""	""	""	""	""
"NGF20"	"NGF"	"Fixation av ledytefragment i knäled - perkutan eller sluten"	""	""	""	"Fragment av brosk eller brosk och ben vid osteokondrit eller traumatisk skada"	""	""
"NGF21"	"NGF"	"Fixation av ledytefragment i knäled - artroskopisk eller endoskopisk"	""	""	""	"Fragment av brosk eller brosk och ben vid osteokondrit eller traumatisk skada"	""	""
"NGF22"	"NGF"	"Fixation av ledytefragment i knäled - öppen"	""	""	""	"Fragment av brosk eller brosk och ben vid osteokondrit eller traumatisk skada"	""	""
"NGF30"	"NGF"	"Partiell excision av ledbrosk i knäled - perkutan eller sluten"	""	""	""	""	""	""
"NGF31"	"NGF"	"Partiell excision av ledbrosk i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGF32"	"NGF"	"Partiell excision av ledbrosk i knäled - öppen"	""	""	""	""	""	""
"NGF91"	"NGF"	"Annan operation på ledhinnor eller ledytor i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGF92"	"NGF"	"Annan operation på ledhinnor eller ledytor i knäled - öppen"	""	""	""	""	""	""
"NGG"	"NG"	"Excisioner, rekonstruktioner och artrodeser i knäleder"	""	""	""	""	"Ledprotes, se NGB och NGC"	"Tilläggskod vid artroskopiskt assisterad operation: ZXC85"
"NGG09"	"NGG"	"Excisionsartroplastik i knäled"	""	""	""	""	""	""
"NGG19"	"NGG"	"Interpositionsartroplastik i knäled"	""	""	""	""	""	""
"NGG29"	"NGG"	"Annan artroplastik i knäled utan protes"	""	""	""	""	""	""
"NGG39"	"NGG"	"Artrodes av knäled utan fixationsmaterial"	""	""	""	""	""	""
"NGG49"	"NGG"	"Artrodes av knäled med intern fixation"	""	""	""	""	""	""
"NGG59"	"NGG"	"Artrodes av knäled med extern fixation"	""	""	""	""	""	""
"NGG99"	"NGG"	"Annan excision, rekonstruktion eller artrodes i knäled"	""	""	""	""	""	""
"NGH"	"NG"	"Diverse operationer på knäleder"	""	""	""	"Reposition"	"Mobilisering av led, se NGT"	""
"NGH00"	"NGH"	"Reposition av knäledsluxation - perkutan eller sluten"	""	""	""	""	"Av dislokerad protes"	""
"NGH01"	"NGH"	"Reposition av knäledsluxation - artroskopisk eller endoskopisk"	""	""	""	""	"Av dislokerad protes"	""
"NGH02"	"NGH"	"Reposition av knäledsluxation - öppen"	""	""	""	""	"Av dislokerad protes"	""
"NGH10"	"NGH"	"Reposition av patellarluxation - perkutan eller sluten"	""	""	""	""	"Av dislokerad protes"	""
"NGH11"	"NGH"	"Reposition av patellarluxation - artroskopisk eller endoskopisk"	""	""	""	""	"Av dislokerad protes"	""
"NGH12"	"NGH"	"Reposition av patellarluxation - öppen"	""	""	""	""	"Av dislokerad protes"	""
"NGH20"	"NGH"	"Reposition av luxerad knäledsprotes - perkutan eller sluten"	""	""	""	""	""	""
"NGH21"	"NGH"	"Reposition av luxerad knäledsprotes - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGH22"	"NGH"	"Reposition av luxerad knäledsprotes - öppen"	""	""	""	""	""	""
"NGH30"	"NGH"	"Adherenslösning i knäled - perkutan eller sluten"	""	""	""	""	""	""
"NGH31"	"NGH"	"Adherenslösning i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGH32"	"NGH"	"Adherenslösning i knäled - öppen"	""	""	""	""	""	""
"NGH40"	"NGH"	"Extraktion av främmande eller fri kropp i knäled - perkutan eller sluten"	""	""	""	""	""	""
"NGH41"	"NGH"	"Extraktion av främmande eller fri kropp i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGH42"	"NGH"	"Extraktion av främmande eller fri kropp i knäled - öppen"	""	""	""	""	""	""
"NGH51"	"NGH"	"Excision av intraartikulär exostos eller osteofyt i knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGH52"	"NGH"	"Excision av intraartikulär exostos eller osteofyt i knäled - öppen"	""	""	""	""	""	""
"NGH71"	"NGH"	"Operation för recidiverande luxation i knäled - artroskopisk eller endoskopisk"	""	""	""	"För recidiverande patellarluxation"	""	""
"NGH72"	"NGH"	"Operation för recidiverande luxation i knäled - öppen"	""	""	""	"För recidiverande patellarluxation"	""	""
"NGH90"	"NGH"	"Annan operation på knäled - perkutan eller sluten"	""	""	""	""	""	""
"NGH91"	"NGH"	"Annan operation på knäled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NGH92"	"NGH"	"Annan operation på knäled - öppen"	""	""	""	""	""	""
"NGJ"	"NG"	"Frakturkirurgi på knän och underben"	""	""	""	""	"Extraktion av implantat, se NGU"	"Tilläggskod för bentransplantat, se NGN"
"NGJ"	""	""	""	""	""	""	"Immobilisering med gipsförband eller splint enbart, se TN"	"Tilläggskod vid artroskopiskt assisterad operation: ZXC85"
"NGJ09"	"NGJ"	"Sluten reposition av fraktur i knä eller underben"	""	""	""	""	""	""
"NGJ19"	"NGJ"	"Öppen reposition av fraktur i knä eller underben"	""	""	""	""	""	""
"NGJ29"	"NGJ"	"Extern fixation av fraktur i knä eller underben"	""	""	""	""	""	""
"NGJ39"	"NGJ"	"Osteosyntes av fraktur i knä eller underben med bioimplantat"	""	""	""	""	""	""
"NGJ49"	"NGJ"	"Osteosyntes av fraktur i knä eller underben med cerklage, stift eller dylikt"	""	""	""	""	""	""
"NGJ59"	"NGJ"	"Osteosyntes av fraktur i knä eller underben med märgspik"	""	""	""	""	""	""
"NGJ69"	"NGJ"	"Osteosyntes av fraktur i knä eller underben med platta och skruvar"	""	""	""	""	""	""
"NGJ79"	"NGJ"	"Osteosyntes av fraktur i knä eller underben med skruvar enbart"	""	""	""	""	""	""
"NGJ89"	"NGJ"	"Osteosyntes av fraktur i knä eller underben med annan eller kombinerad metod"	""	""	"T.ex. med användande av glidskruv"	""	""	""
"NGJ99"	"NGJ"	"Annan operation vid fraktur på knä eller underben"	""	""	""	""	""	""
"NGK"	"NG"	"Operationer på ben i knän och underben"	""	""	""	""	"Avlägsnande av främmande kropp, se NGT09"	"Tilläggskod för bentransplantat, se NGN"
"NGK"	""	""	""	""	""	""	"Komplexa korrektioner vid deformitet, se NGT"	""
"NGK"	""	""	""	""	""	""	"Operationer vid infektion, se NGS"	""
"NGK09"	"NGK"	"Excision av benfragment av knä eller underben"	""	""	""	"Sekvestrotomi"	""	""
"NGK19"	"NGK"	"Partiell eller total excision av ben i knä eller underben"	""	""	""	"Av exostos utanför led"	""	""
"NGK29"	"NGK"	"Fenestrering av ben i knä eller underben"	""	""	""	""	""	""
"NGK39"	"NGK"	"Curettage av bencysta i knä eller underben"	""	""	""	""	""	""
"NGK47"	"NGK"	"Total separation av epifysfogen i underben"	""	""	""	""	""	""
"NGK48"	"NGK"	"Partiell separation av epifysfogen i underben"	""	""	""	""	""	""
"NGK49"	"NGK"	"Epifyseodes av knä eller underben"	""	""	""	""	""	""
"NGK59"	"NGK"	"Vinklings-, rotations- eller förskjutningsosteotomi på knä eller underben"	""	""	""	""	""	""
"NGK69"	"NGK"	"Förkortnings- eller förlängningsosteotomi på knä eller underben"	""	""	""	""	""	""
"NGK79"	"NGK"	"Bentransportoperation på knä eller underben"	""	""	""	""	""	""
"NGK89"	"NGK"	"Epifysdistraktion på knä eller underben"	""	""	""	""	""	""
"NGK99"	"NGK"	"Annan operation på ben i knä eller underben"	""	""	""	""	""	""
"NGL"	"NG"	"Operationer på muskler och senor i knän och underben"	""	""	""	""	"Avlägsnande av främmande kropp, se NGT09"	""
"NGL09"	"NGL"	"Friläggning av muskel i knä eller underben"	""	""	""	""	""	""
"NGL19"	"NGL"	"Sutur eller rekonstruktion av muskel i knä eller underben"	""	""	""	""	""	""
"NGL29"	"NGL"	"Transposition av muskel i knä eller underben"	""	""	""	""	""	""
"NGL39"	"NGL"	"Myotomi eller tenotomi i knä eller underben"	""	""	""	""	""	""
"NGL49"	"NGL"	"Sutur eller reinsertion av sena i knä eller underben"	""	""	""	""	""	""
"NGL59"	"NGL"	"Tenolys eller tenosynovektomi i knä eller underben"	""	""	""	""	""	""
"NGL69"	"NGL"	"Tenodes, förkortning eller förlängning av sena i knä eller underben"	""	""	""	""	""	""
"NGL79"	"NGL"	"Excision av muskel eller sena i knä eller underben"	""	""	""	""	""	""
"NGL89"	"NGL"	"Transposition av sena i knä eller underben"	""	""	""	""	""	""
"NGL99"	"NGL"	"Annan operation på muskel eller sena i knä eller underben"	""	""	""	""	""	""
"NGM"	"NG"	"Operationer på fascior och bursor i knän och underben"	""	""	""	"Ganglion"	"Avlägsnande av främmande kropp, se NGT09"	""
"NGM09"	"NGM"	"Fasciotomi på knä eller underben"	""	""	""	""	""	""
"NGM19"	"NGM"	"Partiell eller total excision av fascia i knä eller underben"	""	""	""	""	""	""
"NGM29"	"NGM"	"Sutur av fascia i knä eller underben"	""	""	""	""	""	""
"NGM39"	"NGM"	"Excision av ganglion i knä eller underben"	""	""	""	""	""	""
"NGM79"	"NGM"	"Excision av bursa i knä eller underben"	""	""	""	""	""	""
"NGM99"	"NGM"	"Annan operation på fascia eller bursa i knä eller underben"	""	""	""	""	""	""
"NGN"	"NG"	"Transplantationer till knän och underben"	""	""	""	""	""	"Tilläggskoder för specifikation av fritt transplantat av muskel, sena, fascia, periost, perikondrium eller brosk, fria mikrovaskulära transplantat och lambåer (inkl. ben-, muskel- och hudlambåer), se ZZ"
"NGN"	""	""	""	""	""	""	""	"Uttagning av vävnad för transplantation, se kapitel Y"
"NGN09"	"NGN"	"Autotransplantation av ben till knä eller underben"	""	""	""	""	""	""
"NGN19"	"NGN"	"Homotransplantation av ben till knä eller underben"	""	""	""	""	""	""
"NGN29"	"NGN"	"Heterotransplantation av ben till knä eller underben"	""	""	""	""	""	""
"NGN39"	"NGN"	"Transplantation av sena till knä eller underben"	""	""	""	""	""	"Fritt sentransplantat, se ZZB"
"NGN49"	"NGN"	"Transplantation av brosk, menisk, periost eller fascia till knä eller underben"	""	""	""	""	""	"Fritt transplantat, se ZZ"
"NGN99"	"NGN"	"Annan transplantation till knä eller underben"	""	""	""	""	""	""
"NGP"	"NG"	"Replantationer i knän och underben"	""	""	""	""	""	""
"NGP29"	"NGP"	"Replantation av extremitet i knä- eller underbensnivå"	""	""	""	""	""	""
"NGQ"	"NG"	"Amputationer och relaterade operationer av knän och underben"	""	""	""	""	""	""
"NGQ09"	"NGQ"	"Exartikulation i knäled"	""	""	""	""	""	""
"NGQ19"	"NGQ"	"Transtibial amputation"	""	""	""	""	""	""
"NGQ29"	"NGQ"	"Revision av exartikulations- eller amputationsstump i knä eller underben"	""	""	""	""	""	""
"NGQ99"	"NGQ"	"Annan amputation eller relaterad operation på knä eller underben"	""	""	""	""	""	""
"NGR"	"NG"	"Operationer för tumör i knän och underben"	""	""	""	""	""	""
"NGR09"	"NGR"	"Intralesionell excision av mjukdelstumör i knä eller underben"	""	""	""	""	""	""
"NGR19"	"NGR"	"Marginell excision av mjukdelstumör i knä eller underben"	""	""	""	""	""	""
"NGR29"	"NGR"	"Vid excision av mjukdelstumör i knä eller underben"	""	""	""	""	""	""
"NGR39"	"NGR"	"Kompartmentell excision av mjukdelstumör i knä eller underben"	""	""	""	""	""	""
"NGR49"	"NGR"	"Intralesionell excision av ben- eller brosktumör i knä eller underben"	""	""	""	""	""	""
"NGR59"	"NGR"	"Marginell excision av ben- eller brosktumör i knä eller underben"	""	""	""	""	""	""
"NGR69"	"NGR"	"Vid excision av ben- eller brosktumör i knä eller underben"	""	""	""	""	""	""
"NGR79"	"NGR"	"Kompartmentell excision av ben- eller brosktumör i knä eller underben"	""	""	""	""	""	""
"NGR99"	"NGR"	"Annan operation för tumör i knä eller underben"	""	""	""	""	""	""
"NGS"	"NG"	"Operationer vid infektion i knän och underben"	""	""	""	"Dränage"	"Incision, dränage av subkutan abscess, se QDA"	"Tilläggskod vid artroskopiskt assisterad operation: ZXC85"
"NGS"	""	""	""	""	""	""	"Sekvestrotomi, se NGK"	""
"NGS09"	"NGS"	"Incision och debridering vid mjukdelsinfektion i knä eller underben"	""	""	""	""	""	""
"NGS19"	"NGS"	"Incision och debridering vid septisk artrit i knäled"	""	""	""	""	""	""
"NGS29"	"NGS"	"Incision och debridering vid osteit i knä eller underben"	""	""	""	""	""	""
"NGS39"	"NGS"	"Incision och debridering vid mjukdelsinfektion i knä eller underben med implantation av läkemedel"	""	"Läkemedel kan anges genom tillägg av ATC-kod"	"T.ex. Gentamycinkulor"	""	""	""
"NGS49"	"NGS"	"Incision och debridering vid septisk artrit i knäled med implantation av läkemedel"	""	"Läkemedel kan anges genom tillägg av ATC-kod"	"T.ex. Gentamycinkulor"	""	""	""
"NGS59"	"NGS"	"Incision och debridering vid osteit i knä eller underben med implantation av läkemedel"	""	"Läkemedel kan anges genom tillägg av ATC-kod"	"T.ex. Gentamycinkulor"	""	""	""
